Source,Target
424694,369192
424694,10139
424694,152532
424694,1420
424694,397538
332562,25196
332562,254470
332562,458737
332562,525
332562,6477
504172,4836
504172,436
504172,6977
504172,253
504172,708
450465,155
450465,1924
450465,141052
450465,1452
450465,49026
446807,281957
446807,336843
446807,101299
446807,562
446807,24418
401469,531593
401469,339403
401469,402900
401469,520360
401469,949
405774,131631
405774,198663
405774,294254
405774,428078
405774,9813
369972,3558
369972,10734
369972,11050
369972,424
369972,222935
505954,423
505954,424
505954,369885
505954,1771
505954,14574
483906,155
483906,272
483906,263115
483906,1927
483906,9531
429197,424
429197,508
429197,640
429197,769
429197,402298
375262,449176
375262,424694
375262,26280
375262,184352
375262,507076
426426,13
426426,171274
426426,112160
426426,483353
426426,1949
489999,300668
489999,338970
489999,2275
489999,284276
489999,590
484247,336843
484247,101299
484247,346364
484247,24418
484247,454983
337167,281957
337167,867
337167,341174
337167,392044
337167,11027
433249,76341
433249,9693
433249,198663
433249,263115
433249,101299
487558,451915
487558,424
487558,769
487558,402298
487558,443009
451915,424
451915,769
451915,402298
451915,443009
446021,77
446021,472715
446021,1368
446021,1369
446021,13
490132,449176
490132,26280
490132,184352
490132,376867
490132,338189
157336,568
157336,75612
157336,126889
157336,605
157336,8077
438808,261023
438808,754
438808,4982
438808,504172
438808,429203
449459,197
449459,627
449459,399402
449459,97370
449459,180863
399360,281957
399360,290512
399360,309050
399360,44363
399360,75174
398173,10781
398173,1696
398173,5486
398173,984
398173,12521
458594,10781
458594,357096
458594,45569
458594,956
458594,238636
340613,843
340613,346685
340613,8999
340613,50014
340613,340666
447332,405774
447332,381283
447332,110415
447332,19908
447332,311291
507076,184352
507076,449176
507076,370663
507076,376867
507076,424694
400535,4771
400535,1266
400535,562
400535,1701
400535,261023
316029,424694
316029,640
316029,424
316029,769
316029,324786
315635,1924
315635,1452
315635,8536
315635,9531
315635,1724
470044,281957
470044,392044
470044,671
470044,674
470044,101299
263115,1924
263115,155
263115,141052
263115,209112
263115,246655
155,272
155,49026
155,209112
155,40662
155,69735
244786,769
244786,398181
244786,281957
